Type,OutputSize,FileType,ColorSpace,RotationAngle,ReliabilityLevel,UseAutoReliabilityLevel,PixelRoundness,PixelColorType,BackgroundColorType,BackgroundColor,PixelColorStart,PixelColorEnd,GradientAngle,IconPath,IconLockToSquares,IconSizePercent,IconBorderType,IconBorderPercent,IconBorderSquareCornerSize,IconBorderColor,BottomText,BottomTextSize,BottomTextColor,BottomTextFont,BottomTextFontStyle,SafeZonePercent,SafeZoneColor,Content,FileName
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,"Discogs_record_icon.svg",Yes,100,Square,20,20,#FFFFFF,"SOHN – Albadas [2025] – Vinyl - 12\" - Albums",31,#000000,Roboto,Bold,5,#FFFFFF,"https://www.discogs.com/release/35410036",35410036
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,"Discogs_record_icon.svg",Yes,100,Square,20,20,#FFFFFF,"Kamasi Washington – Lazarus [2025] – Vinyl - 12\" - Albums",31,#000000,Roboto,Bold,5,#FFFFFF,"https://www.discogs.com/release/35642734",35642734
URL,1024,PNG,RGB,0,High,Yes,0.0,Solid,Solid,#FFFFFF,#000000,#000000,0,"Discogs_record_icon.svg",Yes,100,Square,20,20,#FFFFFF,"Nordmann – Nordmann [2014] – Vinyl - 10\" - EPs",31,#000000,Roboto,Bold,5,#FFFFFF,"https://www.discogs.com/release/6399871,6399871
